1;2;3;4;5;6;0.43;0.08;9;10;11;12;28;29;30;31;;;1.1;;;;;
Nazwa;dodatkowo;sprawno˜†;ilo˜† faz;ilo˜†_mppt;c.katalogowa;netto;brutto;nom W;min;max W;%;max V/string;zabezpieczenia AC;Gwarancja;Zdj©cie_Inwerter;max_A_DC;zakres_DC;THDi;min_DC;Kolumna1;Kolumna2;Kolumna3;Kolumna4
Fronius PRIMO 3.0-1;-;98;1;2;;4850;5238;3000;2500;4500;1.339928739;1000;13;7;;18;80-800;0.05;80;;;;
Fronius PRIMO 3.6-1;-;98;1;2;;5100;5508;3600;3000;5500;1.101719186;1000;16;7;;18;80-800;0.05;80;;;;
Fronius PRIMO Light 3.0-1;light;98;1;2;;3350;3618;3000;2500;4500;1.652578778;1000;13;7;;18;80-800;0.05;80;;;;
Fronius PRIMO Light 3.6-1;light;98;1;2;;4600;4968;3600;3000;5500;1.339928739;1000;16;7;;18;80-800;0.05;80;;;;
Fronius Symo 10.0-3-M;-;97.4;3;2;;9450;10206;10000;8200;15000;1.652578778;1000;14.4;7;;40.5;200-800;0.03;200;;;;
Fronius Symo 12.5-3-M;-;97.6;3;2;;10700;11556;12500;10000;18800;1.377148982;1000;18;7;;40.5;200-800;0.03;200;;;;
Fronius Symo 15.0-3-M;-;97.8;3;2;;10800;11664;15000;12500;22500;1.239434084;1000;21.7;7;;49.5;200-800;0.03;200;;;;
Fronius Symo 17.5-3-M;-;97.8;3;2;;11500;12420;17500;15000;26300;0.991547267;1000;25.3;7;;49.5;200-800;0.03;200;;;;
Fronius Symo 20.0-3-M;-;97.9;3;2;;11550;12474;20000;17500;30000;;1000;28.9;7;;49.5;200-800;0.03;200;;;;
Fronius Symo 3.0-3-M;light;96.5;3;2;;4650;5022;3000;2500;6000;0.604601992;1000;4.3;7;;24;150-800;0.03;200;;;;
Fronius Symo 3.0-3-S;-;96.2;3;1;;4750;5130;3000;2500;6000;0.991547267;1000;4.3;7;;24;150-800;0.03;200;;;;
Fronius Symo 3.7-3-M;-;96.9;3;2;;6050;6534;3700;3000;7400;0.991547267;1000;5.3;7;;24;150-800;0.03;200;;;;
Fronius Symo 3.7-3-S;-;96.7;3;1;;5250;5670;3700;3000;7400;0.826289389;1000;5.3;7;;24;150-800;0.03;200;;;;
Fronius Symo 4.5-3-M;-;97.2;3;2;;6400;6912;4500;3700;9000;0.495773634;1000;6.5;7;;24;150-800;0.03;200;;;;
Fronius Symo 4.5-3-S;-;97;3;1;;5800;6264;4500;3700;9000;0.708248048;1000;6.5;7;;24;150-800;0.03;200;;;;
Fronius Symo 5.0-3-M;light;97.3;3;2;;6050;6534;5000;4500;10000;4.957736335;1000;7.2;7;;24;150-800;0.03;200;;;;
Fronius Symo 6.0-3-M;light;97.5;3;2;;6150;6642;6000;5000;12000;3.305157557;1000;8.7;7;;24;150-800;0.03;200;;;;
Fronius Symo 7.0-3-M;light;97.6;3;2;;7750;8370;7000;6000;14000;2.478868168;1000;10.1;7;;24;150-800;0.03;200;;;;
Fronius Symo 8.2-3-M;light;97.7;3;2;;8600;9288;8200;7000;16400;1.652578778;1000;11.8;7;;24;150-800;0.03;200;;;;
Solaredge - SE2200H;-;0.98;1;2;;3200;3456;2200;1500;4400;0.495773634;480;10;12;;6.5;184-264,5;0.03;184;;;;
